##Vehicle
"Name","Model","License plate","Fuel capacity(L)","Year","Notes"
"Renault","Megan","","60.00","2009",""

##Refuelling
"Odometer (km)","Date","Fuel","Price / L","Total cost","Volume","Filled tank completely","Second fuel","Price / L","Total cost","Volume","Filled tank completely 2","Third fuel","Price / L","Total cost","Volume","Filled tank completely 3","Fuel efficiency","Gas station","Driver","Payment method","Reason","Notes"
"212835","2024-09-12 13:29:07","Gasoline","7.29","52.05","7.14","Yes","","0.00","0.00","0.00","No","","0.00","0.00","0.00","No","8,81 L/100km","Mol - Vitesco Card","andrei petru","","",""
"212754","2024-09-09 13:30:23","Gasoline","7.50","360.56","48.07","Yes","","0.00","0.00","0.00","No","","0.00","0.00","0.00","No","6,85 L/100km","Mol - Vitesco Card","andrei petru","","",""
"212052","2024-08-23 21:11:02","Gasoline","7.36","301.69","40.99","Yes","","0.00","0.00","0.00","No","","0.00","0.00","0.00","No","7,02 L/100km","Mol - Vitesco Card","andrei petru","","",""
"211468","2024-08-18 22:06:30","Gasoline","7.61","276.01","36.27","Yes","","0.00","0.00","0.00","No","","0.00","0.00","0.00","No","7,90 L/100km","Mol - Vitesco Card","andrei petru","","",""
"211009","2024-08-14 15:12:36","Gasoline","7.38","341.55","46.28","Yes","","0.00","0.00","0.00","No","","0.00","0.00","0.00","No","6,75 L/100km","Mol - Vitesco Card","andrei petru","","",""
"210323","2024-08-04 16:31:14","Gasoline","8.16","292.21","35.81","Yes","","0.00","0.00","0.00","No","","0.00","0.00","0.00","No","7,40 L/100km","Mol - Vitesco Card","andrei petru","","",""
"209839","2024-07-28 18:37:27","Gasoline","7.48","275.34","36.81","Yes","","0.00","0.00","0.00","No","","0.00","0.00","0.00","No","6,80 L/100km","Rompetrol","andrei petru","","",""
"209298","2024-07-28 18:36:51","Gasoline","7.55","271.72","35.99","Yes","","0.00","0.00","0.00","No","","0.00","0.00","0.00","No","9,35 L/100km","Rompetrol","andrei petru","","",""
"208913","2024-07-16 07:08:20","Gasoline","7.60","367.76","48.39","Yes","","0.00","0.00","0.00","No","","0.00","0.00","0.00","No","7,54 L/100km","Rompetrol","andrei petru","","",""
"208271","2024-07-11 09:44:41","Gasoline","7.59","325.76","42.92","Yes","","0.00","0.00","0.00","No","","0.00","0.00","0.00","No","7,85 L/100km","Rompetrol","andrei petru","","",""
"207724","2024-07-11 09:43:49","Gasoline","7.55","333.26","44.14","Yes","","0.00","0.00","0.00","No","","0.00","0.00","0.00","No","9,14 L/100km","Rompetrol","andrei petru","","",""
"207241","2024-06-27 16:13:34","Gasoline","7.10","329.65","46.43","Yes","","0.00","0.00","0.00","No","","0.00","0.00","0.00","No","7,17 L/100km","Rompetrol","andrei petru","","",""
"206593","2024-06-27 16:12:20","Gasoline","7.28","324.98","44.64","Yes","","0.00","0.00","0.00","No","","0.00","0.00","0.00","No","11,36 L/100km","Rompetrol","andrei petru","","",""
"206200","2024-06-05 20:38:43","Gasoline","7.08","358.74","50.66","Yes","","0.00","0.00","0.00","No","","0.00","0.00","0.00","No","7,28 L/100km","Rompetrol","andrei petru","","",""
"205504","2024-05-29 11:40:20","Gasoline","7.19","308.74","42.94","Yes","","0.00","0.00","0.00","No","","0.00","0.00","0.00","No","8,61 L/100km","Rompetrol","andrei petru","","",""
"205005","2024-05-21 18:30:37","Gasoline","7.27","328.00","45.12","Yes","","0.00","0.00","0.00","No","","0.00","0.00","0.00","No","8,46 L/100km","Rompetrol","andrei petru","","",""
"204472","2024-05-13 18:26:37","Gasoline","7.38","303.39","41.12","Yes","","0.00","0.00","0.00","No","","0.00","0.00","0.00","No","7,92 L/100km","Rompetrol","andrei petru","","",""
"203953","2024-05-10 09:44:10","Gasoline","7.41","362.35","48.90","Yes","","0.00","0.00","0.00","No","","0.00","0.00","0.00","No","2,15 L/100km","Rompetrol","andrei petru","","",""
"201683","2024-03-21 13:03:20","Gasoline","7.18","301.42","41.98","Yes","","0.00","0.00","0.00","No","","0.00","0.00","0.00","No","8,30 L/100km","Rompetrol","andrei petru","","",""
"201177","2024-03-11 09:35:11","Gasoline","7.22","327.64","45.38","Yes","","0.00","0.00","0.00","No","","0.00","0.00","0.00","No","8,06 L/100km","Rompetrol","andrei petru","","",""
"200614","2024-03-01 15:55:57","Gasoline","7.15","342.91","47.96","Yes","","0.00","0.00","0.00","No","","0.00","0.00","0.00","No","7,12 L/100km","Rompetrol","andrei petru","","",""
"199940","2024-02-20 16:12:24","Gasoline","7.03","327.32","46.56","Yes","","0.00","0.00","0.00","No","","0.00","0.00","0.00","No","8,31 L/100km","Rompetrol","andrei petru","","",""
"199380","2024-01-29 07:09:58","Gasoline","6.83","229.56","33.61","Yes","","0.00","0.00","0.00","No","","0.00","0.00","0.00","No","7,44 L/100km","Rompetrol","andrei petru","","",""
"198928","2024-01-21 16:28:29","Gasoline","6.73","315.10","46.82","Yes","","0.00","0.00","0.00","No","","0.00","0.00","0.00","No","8,44 L/100km","Rompetrol","andrei petru","","",""
"198373","2024-01-06 15:02:47","Gasoline","6.70","303.04","45.23","Yes","","0.00","0.00","0.00","No","","0.00","0.00","0.00","No","7,54 L/100km","Rompetrol","andrei petru","","",""
"197773","2023-12-31 08:18:22","Gasoline","6.55","112.27","17.14","Yes","","0.00","0.00","0.00","No","","0.00","0.00","0.00","No","7,20 L/100km","Rompetrol","andrei petru","","",""
"197535","2023-12-23 14:08:04","Gasoline","6.56","262.40","40.00","Yes","","0.00","0.00","0.00","No","","0.00","0.00","0.00","No","9,52 L/100km","Rompetrol","andrei petru","","",""
"197115","2023-12-06 12:05:29","Gasoline","6.63","319.23","48.15","Yes","","0.00","0.00","0.00","No","","0.00","0.00","0.00","No","7,25 L/100km","Rompetrol","andrei petru","","",""
"196451","2023-11-30 12:52:18","Gasoline","6.64","246.61","37.14","Yes","","0.00","0.00","0.00","No","","0.00","0.00","0.00","No","8,42 L/100km","Rompetrol","andrei petru","","",""
"196010","2023-11-19 14:14:03","Gasoline","6.91","240.00","34.73","Yes","","0.00","0.00","0.00","No","","0.00","0.00","0.00","No","7,53 L/100km","Rompetrol","andrei petru","","",""
"195549","2023-11-13 17:13:45","Gasoline","7.02","239.17","34.07","Yes","","0.00","0.00","0.00","No","","0.00","0.00","0.00","No","8,33 L/100km","Rompetrol","andrei petru","","",""
"195140","2023-10-28 20:03:22","Gasoline","7.12","269.78","37.90","Yes","","0.00","0.00","0.00","No","","0.00","0.00","0.00","No","7,39 L/100km","Rompetrol","andrei petru","","",""
"194627","2023-10-21 16:36:35","Gasoline","7.02","341.38","48.60","Yes","","0.00","0.00","0.00","No","","0.00","0.00","0.00","No","8,69 L/100km","Omv","andrei petru","","",""
"194068","2023-09-30 13:12:10","Gasoline","7.35","288.63","39.27","Yes","","0.00","0.00","0.00","No","","0.00","0.00","0.00","No","8,01 L/100km","Rompetrol","andrei petru","","",""
"193578","2023-09-22 23:03:25","Gasoline","7.48","314.76","42.10","Yes","","0.00","0.00","0.00","No","","0.00","0.00","0.00","No","6,91 L/100km","Rompetrol","andrei petru","","",""
"192969","2023-09-20 12:17:25","Gasoline","7.37","213.67","28.98","Yes","","0.00","0.00","0.00","No","","0.00","0.00","0.00","No","7,53 L/100km","Rompetrol","andrei petru","","",""
"192584","2023-09-15 11:41:00","Gasoline","7.41","159.00","21.46","Yes","","0.00","0.00","0.00","No","","0.00","0.00","0.00","No","6,95 L/100km","Rompetrol","andrei petru","","",""
"192275","2023-09-12 20:35:28","Gasoline","7.29","255.95","35.12","Yes","","0.00","0.00","0.00","No","","0.00","0.00","0.00","No","7,35 L/100km","Rompetrol","andrei petru","","",""
"191797","2023-09-10 08:05:44","Gasoline","7.26","308.62","42.51","Yes","","0.00","0.00","0.00","No","","0.00","0.00","0.00","No","8,43 L/100km","Rompetrol","andrei petru","","",""
"191293","2023-08-19 13:01:01","Gasoline","7.41","291.73","39.37","Yes","","0.00","0.00","0.00","No","","0.00","0.00","0.00","No","7,75 L/100km","Rompetrol","andrei petru","","",""
"190785","2023-08-12 15:32:44","Gasoline","7.16","325.85","45.50","Yes","","0.00","0.00","0.00","No","","0.00","0.00","0.00","No","7,57 L/100km","Omv","andrei petru","","",""
"190184","2023-07-28 19:23:36","Gasoline","6.82","338.95","49.70","Yes","","0.00","0.00","0.00","No","","0.00","0.00","0.00","No","7,00 L/100km","Esso","andrei petru","","",""
"189474","2023-07-21 17:37:13","Gasoline","6.75","309.00","45.78","Yes","","0.00","0.00","0.00","No","","0.00","0.00","0.00","No","9,19 L/100km","Esso","andrei petru","","",""
"188976","2023-05-18 08:32:24","Gasoline","6.45","309.34","47.96","Yes","","0.00","0.00","0.00","No","","0.00","0.00","0.00","No","8,06 L/100km","Rompetrol","andrei petru","","",""
"188381","2023-04-30 12:13:59","Gasoline","6.67","318.00","47.65","Yes","","0.00","0.00","0.00","No","","0.00","0.00","0.00","No","8,82 L/100km","Rompetrol","andrei petru","","",""
"187841","2023-04-06 20:08:28","Gasoline","6.81","308.42","45.30","Yes","","0.00","0.00","0.00","No","","0.00","0.00","0.00","No","8,48 L/100km","Rompetrol","andrei petru","","",""
"187307","2023-03-11 12:07:46","Gasoline","6.73","249.14","37.02","Yes","","0.00","0.00","0.00","No","","0.00","0.00","0.00","No","7,33 L/100km","Esso","andrei petru","","",""
"186802","2023-03-05 08:04:21","Gasoline","6.64","331.47","49.92","Yes","","0.00","0.00","0.00","No","","0.00","0.00","0.00","No","9,75 L/100km","Rompetrol","andrei petru","","",""
"186290","2023-01-15 16:25:02","Gasoline","6.35","249.11","39.23","Yes","","0.00","0.00","0.00","No","","0.00","0.00","0.00","No","7,17 L/100km","Esso","andrei petru","","",""
"185743","2023-01-13 20:34:14","Gasoline","6.35","223.14","35.14","Yes","","0.00","0.00","0.00","No","","0.00","0.00","0.00","No","8,19 L/100km","Esso","andrei petru","","",""
"185314","2022-12-26 13:57:22","Gasoline","6.05","216.53","35.79","Yes","","0.00","0.00","0.00","No","","0.00","0.00","0.00","No","7,87 L/100km","Esso","andrei petru","","",""
"184859","2022-12-20 20:01:03","Gasoline","6.12","190.82","31.18","Yes","","0.00","0.00","0.00","No","","0.00","0.00","0.00","No","7,72 L/100km","Esso","andrei petru","","",""
"184455","2022-12-11 05:07:08","Gasoline","6.37","146.57","23.01","Yes","","0.00","0.00","0.00","No","","0.00","0.00","0.00","No","7,64 L/100km","Esso","andrei petru","","",""
"184154","2022-12-01 17:16:01","Gasoline","6.82","240.06","35.20","Yes","","0.00","0.00","0.00","No","","0.00","0.00","0.00","No","8,32 L/100km","Esso","andrei petru","","",""
"183731","2022-11-29 22:37:37","Gasoline","7.01","241.63","34.47","Yes","","0.00","0.00","0.00","No","","0.00","0.00","0.00","No","9,05 L/100km","Esso","andrei petru","","",""
"183350","2022-11-13 20:47:16","Gasoline","7.24","299.16","41.35","Yes","","0.00","0.00","0.00","No","","0.00","0.00","0.00","No","8,72 L/100km","Esso","andrei petru","","",""
"182876","2022-10-30 12:49:16","Gasoline","7.09","282.89","39.90","Yes","","0.00","0.00","0.00","No","","0.00","0.00","0.00","No","8,09 L/100km","Rompetrol","andrei petru","","",""
"182383","2022-10-23 19:49:54","Gasoline","6.95","177.30","25.50","Yes","","0.00","0.00","0.00","No","","0.00","0.00","0.00","No","8,31 L/100km","Esso","andrei petru","","",""
"182076","2022-10-09 16:31:57","Gasoline","6.63","333.29","50.27","Yes","","0.00","0.00","0.00","No","","0.00","0.00","0.00","No","7,88 L/100km","Esso","andrei petru","","",""
"181438","2022-10-01 17:53:18","Gasoline","6.63","291.65","43.99","Yes","","0.00","0.00","0.00","No","","0.00","0.00","0.00","No","7,83 L/100km","Rompetrol","","","",""
"180876","2022-10-01 17:51:45","Gasoline","6.57","273.84","41.68","Yes","","0.00","0.00","0.00","No","","0.00","0.00","0.00","No","9,32 L/100km","Rompetrol","","","",""
"180429","2022-09-30 08:25:51","Gasoline","6.73","193.61","28.77","Yes","","0.00","0.00","0.00","No","","0.00","0.00","0.00","No","6,09 L/100km","Rompetrol","","","",""
"179957","2022-09-30 08:24:51","Gasoline","6.76","294.74","43.60","Yes","","0.00","0.00","0.00","No","","0.00","0.00","0.00","No","7,49 L/100km","Socar","","","",""
"179375","2022-09-23 16:08:13","Gasoline","6.74","191.96","28.48","Yes","","0.00","0.00","0.00","No","","0.00","0.00","0.00","No","7,80 L/100km","Esso","","","",""
"179010","2022-09-14 11:19:59","Gasoline","7.28","318.35","43.73","Yes","","0.00","0.00","0.00","No","","0.00","0.00","0.00","No","7,64 L/100km","Esso","","","",""
"178438","2022-09-11 00:11:55","Gasoline","7.20","263.88","36.65","Yes","","0.00","0.00","0.00","No","","0.00","0.00","0.00","No","8,24 L/100km","Petrom","","","",""
"177993","2022-09-04 13:20:40","Gasoline","7.48","276.76","37.00","Yes","","0.00","0.00","0.00","No","","0.00","0.00","0.00","No","7,61 L/100km","Esso","","","",""
"177507","2022-08-23 02:21:44","Gasoline","7.56","182.72","24.17","Yes","","0.00","0.00","0.00","No","","0.00","0.00","0.00","No","7,39 L/100km","Rompetrol","","","",""
"177180","2022-08-20 08:28:25","Gasoline","7.56","161.25","21.33","Yes","","0.00","0.00","0.00","No","","0.00","0.00","0.00","No","8,36 L/100km","Esso","","","",""
"176925","2022-08-14 12:31:28","Gasoline","7.61","340.00","44.68","Yes","","0.00","0.00","0.00","No","","0.00","0.00","0.00","No","7,66 L/100km","Mol","","","",""
"176342","2022-08-01 16:51:32","Gasoline","7.90","218.67","27.68","Yes","","0.00","0.00","0.00","No","","0.00","0.00","0.00","No","8,82 L/100km","Rompetrol","","","",""
"176028","2022-07-24 10:56:40","Gasoline","7.93","274.00","34.56","Yes","","0.00","0.00","0.00","No","","0.00","0.00","0.00","No","7,75 L/100km","Rompetrol","","","",""
"175582","2022-07-19 19:42:32","Gasoline","8.17","77.53","9.49","Yes","","0.00","0.00","0.00","No","","0.00","0.00","0.00","No","6,12 L/100km","Esso","","","",""
"175427","2022-07-19 16:05:49","Gasoline","8.17","377.20","46.17","Yes","","0.00","0.00","0.00","No","","0.00","0.00","0.00","No","0,00 L/100km","Socar","","","",""

##Expense
"Odometer (km)","Date","Total cost","Type of expense","Local expense","Driver","Payment method","Reason","Notes"
"211009","2024-08-18 11:14:54","139.00","ITP","","andrei petru","","","1 an"
"211009","2024-08-18 11:13:47","582.00","RCA","","andrei petru","","","6 luni"
"206200","2024-06-20 14:50:42","3600.00","Accesorii","","andrei petru","","","Navigatie + Camera + Subwoofer"
"191752","2023-09-10 08:05:04","150.00","ITP","","andrei petru","","",""
"191293","2023-08-19 13:04:43","138.00","Rovinieta","","andrei petru","","",""
"191293","2023-08-19 13:02:41","780.00","RCA","","andrei petru","","",""
"184455","2022-12-17 14:44:13","200.00","Accesorii","","andrei petru","","","Roata de rezerva"
"182876","2022-11-11 12:56:48","1250.00","Distributie","","andrei petru","","",""
"182876","2022-11-11 12:55:44","435.00","Revizie","","andrei petru","","",""
"182876","2022-10-31 12:52:36","2200.00","Anvelope","","andrei petru","","","2100 anvelopele + 100 montatul"
"177507","2022-08-23 05:30:22","140.00","Rovinieta","","","","",""
"176342","2022-08-14 07:00:06","137.00","Registration","","","","","Alte cheltuie"
"176342","2022-08-14 06:58:10","563.00","RCA","","","","","Pe un an"
"176342","2022-08-14 06:55:37","667.00","RAR","","","","",""
"175420","2022-07-19 14:00:55","21500.00","Achiziție Autovehicul","","","","",""


##Service
"Odometer (km)","Date","Total cost","Type of service","Local service","Driver","Payment method","Notes"
"214550","2024-11-03 08:57:00","1236.00","Service","","andrei petru","",""
"203800","2024-05-10 09:48:46","900.00","Cooling System","","andrei petru","","1. Racitorul de ulei era fisurat si scapa ulei in apa.
2. Un furtun de apa a fost fisurat"
"203500","2024-05-10 09:47:36","420.00","Exhaust System","","andrei petru","","Sonda landa de evacuare"
"196451","2023-11-30 12:51:38","460.00","Revizie","","andrei petru","",""

